Date,Open,High,Low,Close,Adj Close,Volume
2022-01-11,291.000000,292.880005,288.709991,290.589996,290.589996,53141460
2022-01-12,291.429993,292.299988,285.049988,289.329987,289.329987,75715730
2022-01-13,288.700012,290.299988,269.899994,272.899994,272.899994,177458892
2022-01-14,275.010010,276.799988,249.199997,254.589996,254.589996,376603880
2022-01-17,262.149994,264.010010,247.000000,257.100006,257.100006,248689250
2022-01-18,257.100006,257.100006,257.100006,257.100006,257.100006,0
2022-01-19,232.899994,249.000000,221.029999,241.389999,241.389999,360958990
2022-01-20,244.169998,263.000000,240.009995,260.000000,260.000000,329113650
2022-01-21,252.990005,259.079987,246.000000,246.850006,246.850006,295690670
2022-01-24,246.509995,249.880005,226.000000,234.820007,234.820007,325829650
2022-01-25,237.000000,243.550003,231.000000,231.699997,231.699997,232596970
2022-01-26,240.500000,245.169998,233.300003,239.279999,239.279999,224840650
2022-01-27,235.000000,260.000000,233.100006,253.000000,253.000000,301306340
2022-01-28,255.869995,262.000000,252.020004,257.279999,257.279999,204180270
2022-01-31,257.279999,257.279999,257.279999,257.279999,257.279999,0
2022-02-01,269.720001,273.100006,260.559998,262.600006,262.600006,170396140
2022-02-02,265.880005,266.910004,254.520004,258.640015,258.640015,170215080
2022-02-03,258.450012,259.869995,250.059998,252.710007,252.710007,151173100
2022-02-04,251.990005,259.739990,251.910004,254.220001,254.220001,127035170
2022-02-07,256.989990,260.529999,253.520004,256.690002,256.690002,85586640
2022-02-08,257.600006,269.899994,256.519989,269.049988,269.049988,161506220
2022-02-09,270.010010,279.709991,270.000000,279.369995,279.369995,193575010
2022-02-10,279.200012,282.299988,273.670013,278.899994,278.899994,180148360
2022-02-11,274.899994,275.869995,259.609985,266.600006,266.600006,213954390
2022-02-14,256.690002,259.500000,245.100006,255.669998,255.669998,357654570
2022-02-15,257.890015,274.000000,257.510010,270.209991,270.209991,271518670
2022-02-16,276.880005,281.000000,274.149994,277.489990,277.489990,195822410
2022-02-17,277.000000,277.000000,259.359985,261.049988,261.049988,262088700
2022-02-18,262.130005,267.000000,245.000000,249.000000,249.000000,270594740
2022-02-21,249.149994,258.320007,184.300003,208.000000,208.000000,1084508440
2022-02-22,198.720001,219.899994,182.029999,211.000000,211.000000,946020570
2022-02-24,187.539993,187.539993,89.589996,112.500000,112.500000,829355880
2022-02-25,123.750000,152.889999,115.110001,130.500000,130.500000,396287150
2022-03-24,131.000000,156.199997,130.149994,136.240005,136.240005,159464350
2022-03-25,137.000000,147.000000,128.199997,131.500000,131.500000,57662950
2022-03-28,130.600006,131.470001,125.000000,125.000000,125.000000,33212430
2022-03-29,126.160004,137.570007,122.000000,128.770004,128.770004,72338740
2022-03-30,136.889999,138.399994,131.110001,134.600006,134.600006,35675450
2022-03-31,135.250000,147.410004,134.520004,143.690002,143.690002,118425000
2022-04-01,145.000000,155.399994,144.509995,154.500000,154.500000,118880720
2022-04-04,154.500000,154.500000,154.500000,154.500000,154.500000,0
2022-04-05,169.830002,169.899994,147.759995,154.100006,154.100006,130342790
2022-04-06,143.509995,153.300003,140.649994,141.600006,141.600006,109040410
2022-04-07,143.100006,149.899994,142.500000,147.500000,147.500000,58839040
2022-04-08,149.050003,151.000000,141.059998,143.720001,143.720001,48450590
2022-04-11,144.089996,146.979996,138.500000,138.690002,138.690002,47575830
2022-04-12,138.839996,140.100006,130.350006,135.380005,135.380005,75388800
2022-04-13,136.779999,138.139999,132.720001,135.500000,135.500000,39087840
2022-04-14,135.850006,135.889999,129.050003,129.050003,129.050003,44368360
2022-04-15,128.550003,131.720001,125.120003,130.880005,130.880005,46772550
2022-04-18,131.410004,132.679993,123.699997,123.849998,123.849998,58500600
2022-04-19,123.849998,123.849998,115.360001,120.300003,120.300003,79905700
2022-04-20,121.000000,125.440002,117.510002,121.500000,121.500000,66603200
2022-04-21,121.500000,121.500000,121.500000,121.500000,121.500000,0
2022-04-22,118.650002,122.320000,115.550003,116.970001,116.970001,57466590
2022-04-25,116.970001,116.970001,116.970001,116.970001,116.970001,0
2022-04-26,112.580002,124.919998,111.900002,122.360001,122.360001,83540530
2022-04-27,123.000000,131.729996,120.599998,131.110001,131.110001,115500050
2022-04-28,132.139999,134.500000,123.050003,123.849998,123.849998,123541890
2022-04-29,123.669998,130.000000,122.800003,128.800003,128.800003,87366110
